x;y;v;theta;t
1152.52;1757.9;11.1308;2.41644;528
1144.06;1765.39;11.3026;2.41644;529
1135.57;1772.91;11.3352;2.41644;530
1126.89;1780.61;11.6026;2.41644;531
1118.19;1788.32;11.6249;2.41644;532
1109.28;1796.21;11.8995;2.41644;533
1100.76;1803.76;11.3892;2.41644;534
1097.1;1814.89;11.7183;1.88859;535
1093.48;1825.89;11.5718;1.88859;536
1089.74;1837.28;11.9917;1.88859;537
1086.05;1848.48;11.7894;1.88859;538
1082.54;1859.14;11.2296;1.88859;539
1079.03;1869.82;11.2375;1.88859;540
1085.01;1879.18;11.1077;1.00255;541
1090.78;1888.22;10.7284;1.00255;542
1096.64;1897.39;10.8788;1.00255;543
1105.97;1902.88;10.8274;0.531009;544
1115.18;1908.28;10.6715;0.531009;545
1124.3;1913.64;10.5824;0.531009;546
1133.73;1919.18;10.9365;0.531009;547
1143;1924.62;10.7467;0.531009;548
1153.66;1924.37;10.6681;-0.0238381;549
1164.13;1924.12;10.4648;-0.0238381;550
1174.23;1922.27;10.2676;-0.18047;551
1182.24;1915.62;10.4199;-0.692896;552
1190.33;1908.91;10.505;-0.692896;553
1198.06;1902.49;10.0498;-0.692896;554
1205.61;1896.22;9.81363;-0.692896;555
1207.24;1886.47;9.88075;-1.40479;556
1206.72;1877.04;9.44845;-1.62607;557
1203.91;1868.41;9.07396;-1.88575;558
1205.13;1859.03;9.46077;-1.4409;559
1206.39;1849.43;9.68648;-1.4409;560
1207.67;1839.61;9.90387;-1.4409;561
1208.92;1830.03;9.65432;-1.4409;562
1210.14;1820.74;9.37128;-1.4409;563
1211.31;1811.75;9.06553;-1.4409;564
1212.49;1802.76;9.069;-1.4409;565
1213.67;1793.72;9.11092;-1.4409;566
1218.88;1786.63;8.80494;-0.937239;567
1223.92;1779.76;8.51808;-0.937239;568
1228.91;1772.97;8.42541;-0.937239;569
1233.82;1766.29;8.29542;-0.937239;570
1238.79;1759.53;8.3881;-0.937239;571
1243.75;1752.77;8.38266;-0.937239;572
1248.69;1746.05;8.33982;-0.937239;573
1256.43;1742.18;8.65645;-0.463862;574
1260.91;1734.57;8.82847;-1.03843;575
1265.56;1726.67;9.16985;-1.03843;576
1270.3;1718.63;9.32998;-1.03843;577
1274.89;1710.83;9.05484;-1.03843;578
1279.28;1703.39;8.63351;-1.03843;579
1283.71;1695.87;8.73124;-1.03843;580
1288.16;1688.31;8.77598;-1.03843;581
1292.78;1680.47;9.08935;-1.03843;582
1297.26;1672.86;8.83505;-1.03843;583
1303.78;1667.57;8.39743;-0.681942;584
1310.24;1662.33;8.31794;-0.681942;585
1316.86;1656.95;8.52444;-0.681942;586
1325.27;1656.58;8.42363;-0.0444234;587
1334.09;1656.19;8.82366;-0.0444234;588
1342.77;1655.8;8.6929;-0.0444234;589
1351.85;1655.4;9.08994;-0.0444234;590
1360.67;1655.01;8.8236;-0.0444234;591
1369.24;1652.85;8.83559;-0.246505;592
1378.2;1650.59;9.24513;-0.246505;593
1386.84;1648.42;8.90805;-0.246505;594
1395.79;1646.17;9.23247;-0.246505;595
